lyrics_chunk,song,artist,year,rank,source,decade,mood
when youre alone and life is making you lonely you can always go downtown when youve got worries all the noise and the hurry seems to help i know downtownjust listen to the music of the traffic in the city linger on the sidewalk where the neon signs are pretty how can you lose the lights are much brighter there you can forget all your troubles forget all your caresso go downtown things will be great when youre downtown no finer place for sure downtown every things waiting for youdont hang around and let your problems surround you there are movie shows downtown maybe you know some little places to go to where they never close downtownjust listen to the rhythm of a gentle bossa nova youll be dancing with em too before the night is over happy again the lights are much brighter there you can forget all your troubles forget all your caresso go downtown where all the lights are bright downtown waiting for you tonight downtown youre gonna be alright nowdowntownand you may find somebody kind to help and understand you someone who is just like you and needs a gentle hand to guide them along so maybe ill see you there we can forget all our troubles forget all our caresso go downtown things will be great when youre downtown dont wait a minute more downtown everything is waiting for you downtown downtown downtown downtown,downtown,petula clark,1965,6,1,1960s,happy
carterlewis every time i see you lookin my way baby baby cant you hear my heartbeat in the car or walking down the highway baby baby cant you hear my heartbeat when you move up closer to me i get a feelin thats ooowee cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love when i feel you put your arms around me baby baby cant you hear my heartbeat then im glad im mighty glad i found you baby baby cant you hear my heartbeat when you asked me to meet your ma i knew that baby wed be going far cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love rhythm guitar all my friends are cryin out to meet you baby baby cant you hear my heartbeat nows the time to go and see the preacher baby baby cant you hear my heartbeat wedding bells are gonna chime baby baby youre gonna be mine cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat,cant you hear my heart beat,hermans hermits,1965,8,5,1960s,happy
ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl,my girl,the temptations,1965,10,3,1960s,happy
let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the stars in the sky and a girl and a guy and the way they could kiss on a night like this when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love yeah when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the birds and the bees and the flowers and the trees and the birds and the bees and the flowers and the trees bout the birds and the bees and the bees and the bees,the birds and the bees,jewel akens,1965,13,3,1960s,happy
they say were young and we dont know we wont find out until we grow well i dont know if all thats true cause you got me and baby i got you babe i got you babe i got you babe they say our love wont pay the rent before its earned our moneys all been spent i guess thats so we dont have a pot but at least im sure of all the things we got babe i got you babe i got you babe i got flowers in the spring i got you to wear my ring and when im sad youre a clown and if i get scared youre always around dont let them tell your hairs too long cause i dont care with you i cant go wrong then put your little hand in mine there aint no hill or mountain we cant climb babe i got you babe i got you babe i got you to hold my hand i got you to understand i got you to walk with me i got you to talk with me i got you to kiss goodnight i got you to hold me tight i got you i wont let go i got you to love me so i got you babe i got you babe i got you babe,i got you babe,sonny cher,1965,16,3,1960s,happy
are you ready yes im ready are you ready yes im ready i dont even know how to love you just the way you want me to but im ready ready to learn yes im ready ready to learn to fall in love to fall in love to fall in love with you i dont even know how to hold your hand just to make you understand but im ready ready to learn yes im ready ready to learn to hold your hand and make you understand to hold your hand right now i dont even know how to kiss your lips kiss your lips at a moment like this but im going to learn how to do all the things you want me to are you ready yes im ready are you ready yes im ready to fall in love to fall in love to fall in love right now are you ready yes im ready are you ready yes im ready to kiss me yes im ready to love me to kiss you to love you to hug you baby im ready,yes im ready,barbara mason,1965,27,5,1960s,happy
whats new pussycat woah woah whats new pussycat woah woahpussycat pussycat ive got flowers and lots of hours to spend with you so go and powder your cute little pussycat nosepussycat pussycat i love you yes i do you and your pussycat nosewhats new pussycat woah woah whats new pussycat woah woahpussycat pussycat youre so thrilling and im so willing to care for you so go and make up your big little pussycat eyespussycat pussycat i love you yes i do you and your pussycat eyeswhats new pussycat woah woah whats new pussycat woah woahpussycat pussycat youre delicious and if my wishes can all come true ill soon be kissing your sweet little pussycat lipspussycat pussycat i love you yes i do you and your pussycat lips you and your pussycat eyes you and your pussycat nose,whats new pussycat,tom jones,1965,28,1,1960s,happy
hang on sloopy sloopy hang on hang on sloopy sloopy hang on sloopy lives in a very bad part of town and everybody there tries to put my sloopy down sloopy i dont care what your daddy do cause you know sloopy girl im in love with you and so im singing yeah yeah yeah yeah sloopy let your hair down girl let it run down on me sloopy let your hair down girl let it run down on me come on sloopy come on come on come on sloopy come on come on well come on sloopy come on come on well come on sloopy come on come on well it feels so good come on come on you know it feels so good come on come on well shake it shake it shake it sloopy come on come on well shake it shake it shake it yeah yeah yeah yeah yeah yeah,hang on sloopy,the mccoys,1965,30,3,1960s,happy
the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love it started long ago in the garden of eden when adam said to eve baby youre for me so come on baby lets start today come on baby lets play the game of love love la la la la la love come on baby cause the time is right love your daddy with all your might put your arms around me hold me tight play the game of love the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love come on baby cause the time is right love your daddy with all your might put your arms around me hold me tight play the game of love the purpose of a man is to love a woman and the purpose of a woman is to love a man so come on baby lets start today come on baby lets play the game of love love la la la la la love the game of love baby the game of la la la la love the game of love baby the game of la la la la love the game of love baby,game of love,wayne fontana the mindbenders,1965,34,3,1960s,happy
shirley ellis miscellaneous the name game the name game shirley shirley shirley bo birley bonana fanna fo firley fee fy mo mirley shirley lincoln lincoln lincoln bo bincoln bonana fanna fo fincoln fee fy mo mincoln lincoln come on everybody i say now lets play a game i betcha i can make a rhyme out of anybodys name the first letter of the name i treat it like it wasnt there but a b or an f or an m will appear and then i say bo add a b then i say the name and bonana fanna and a fo and then i say the name again with an f very plain and a fee fy and a mo and then i say the name again with an m this time and there isnt any name that i cant rhyme arnold arnold arnold bo barnold bonana fanna fo farnold fee fy mo marnold arnold but if the first two letters are ever the same i drop them both and say the name like bob bob drop the bs bo ob for fred fred drop the fs fo red for mary mary drop the ms mo ary thats the only rule that is contrary okay now say bo bo now tony with a b bony then bonana fanna fo bonana fanna fo then you say the name again with an f very plain fony then a fee fy and a mo fee fy mo then you say the name again with an m this time mony and there isnt any name that you cant rhyme every body do tony pretty good lets do billy very good lets do marsha a little trick with nick the name game,the name game,shirley ellis,1965,35,3,1960s,happy
trailer for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the roadthird boxcar midnight train destination bangor maine old worn out clothes and shoes i dont pay no union dues i smoke old stogies i have found short but not too big around im a man of means by no means king of the roadi know every engineer on every train all of their children and all of their names and every handout in every town and every lock that aint locked when no ones aroundi sing trailers for sale or rent rooms to let fifty cents no phone no pool no pets i aint got no cigarettes ah but two hours of pushin broom buys an eight by twelve fourbit room im a man of means by no means king of the road,king of the road,roger miller,1965,12,1,1960s,reflective
hold me hold me never let me go until youve told me told me what i want to know and then just hold me hold me make me tell you im in love with you thrill me thrill me thrill me thrill me walk me down the lane where shadows will be will be will be will be hiding lovers just the same as well be well be when you make me tell you i love you they told me be sensible with your new love dont be fooled thinking this is the last youll find but they never stood in the dark with you love when you take me in your arms and drive me slowly out of my mind kiss me kiss me kiss me kiss me and when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you kiss me kiss me kiss me kiss me when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you hold me thrill me never never never let me go never never never let me go hold me thrill me never never never let me go never never never let me go fade,hold me thrill me kiss me,mel carter,1965,14,1,1960s,reflective
oh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me meaning byamandah editor written in 1955 unchained melody has become one of the mostrecorded songs of the 20th centurythe righteous brothers version remaining probably the most see all lonely rivers flow to the sea to the sea to the open arms of the sea lonely rivers sigh wait for me wait for me ill be coming home wait for meoh my love my darling ive hungered for your touch a long lonely time time goes by so slowly and time can do so much are you still mine i need your love i need your love god speed your love to me lonely mountains gaze at the stars at the stars waiting for the dawn of the dayall alone i gaze at the stars at the stars dreaming of my love far away,unchained melody,the righteous brothers,1965,21,1,1960s,reflective
theres a new world somewhere they call the promised land and ill be there someday if you will hold my handi still need you there beside me no matter what i do for i know ill never find another youthere is always someone for each of us they say and youll be my someone forever and a dayi could search the whole world over until my life is through but i know ill never find another youits a long long journey so stay by my side when ill walk through the storm youll be my guide be my guideif they gave me a fortune my pleasure would be small i could lose it all tomorrow and never mind at allbut if i should lose your love dear i dont know what id do for i know ill never find another youbut if i should lose your love dear i dont know what id do for i know ill never find another you another you another you,ill never find another you,the seekers,1965,23,1,1960s,reflective
hey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin youtake me for a trip upon your magic swirling ship all my senses have been stripped and my hands cant feel to grip and my toes too numb to step wait only for my boot heels to be wanderingim ready to go anywhere im ready for to fade into my own parade cast your dancing spell my way i promise to go under ithey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin you,mr tambourine man,the byrds,1965,25,1,1960s,reflective
a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind i shift my course along the breeze wont sail upwind on memories the empty sky is my best friend i just cast my fate to the wind a month of nights a year of days octobers drifting into mays i set my sail when the tide comes in i just cast my fate to the wind,cast your fate to the wind,sounds orchestral,1965,26,3,1960s,reflective
gerry miscellaneous ferry cross the mersey ferry cross the mersey gerry and pace makers gerry marsden life goes on day after day hearts torn in every way so ferry cross the mersey cause this lands the place i love and here ill stay people they rush everywhere each with their own secret care so ferry cross the mersey and always take me there the place i love people around every corner they seem to smile and say we dont care what your name is boy well never turn you away so ill continue to say here i always will stay so ferry cross the mersey cause this lands the place i love and here ill stay and here ill stay here ill stay,ferry cross the mersey,gerry and the pacemakers,1965,43,3,1960s,reflective
original is an instrumental music vocals recorded by salena jones the trees join hands and say hello and suddenly evrywhere we go the sun beams through in fun the leaves form patterns like a heart and whisper forever never part be true cause i love you shadows write words of love across our path birds sing how lucky those whose love just grows together blades of grass stand on and on and chatter together in a calm thats green and so serene a memry of our walk of love in a dream a stream goes by reflecting a message from the sky above and here and there we look around to see other lovers who have found their way crickets tap out their symphony in code rabbits run helter skelter finding shelter here and flowers swaying in the breeze look up to the branches of the trees and sing as birds take wing all this is true cause i love you,a walk in the black forest,horst jankowski,1965,47,3,1960s,reflective
goldfinger hes the man the man with the midas touch a spiders touch such a cold finger beckons you to enter his web of sin but dont go ingolden words he will pour in your ear but his lies cant disguise what you fear for a golden girl knows when hes kissed her its the kiss of death from mister goldfinger pretty girl beware of his heart of gold this heart is coldgolden words he will pour in your ear but his lies cant disguise what you fear for a golden girl knows when hes kissed her its the kiss of death from mister goldfinger pretty girl beware of his heart of gold this heart is coldhe loves only gold only gold he loves gold he loves only gold only gold he loves gold,goldfinger,shirley bassey,1965,51,1,1960s,reflective
some men climb the mountains some men swim the seas some men fly above the sky they are what they must be baby the rain must fall baby the wind must blow wherever my heart leads me baby i must go baby i must go i do not love for silver i do not love for gold my heart is mine to give away it never will be sold baby the rain must fall baby the wind must blow wherever my heart leads me baby i must go baby i must go,baby the rain must fall,glenn yarbrough,1965,53,3,1960s,reflective
help i need somebody help not just anybody help you know i need someone help when i was younger so much younger than today i never needed anybodys help in any way but now these days are gone im not so selfassured now i find ive changed my mind and opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me and now my life has changed in oh so many ways my independence seems to vanish in the haze but every now and then i feel so insecure i know that i just need you like ive never done before help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me when i was younger so much younger than today i never needed anybodys help in any way but now these days are gone im not so selfassured now i find ive changed my mind ive opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me help me help me ooo,help,the beatles,1965,7,3,1960s,sad
you saw me crying in the chapel the tears i shed were tears of joy i know the meaning of contentment i am happy with the lordjust a plain and simple chapel where all bumble people go to pray i prayed the lord that ill grow stronger as i live from day to dayi searched i searched and i searched i searched but i couldnt find no way on earth to gain peace of mindnow im happy in the chapel where people are of one accord one accord yes we gather in the chapel just to sing and praise the lordyoull search and youll search but youll never find no way on earth to find peace of mindtake your troubles to the chapel get down on your knees and pray then your burdens will be lighter and youll surely find the way and youll surely find the way,crying in the chapel,elvis presley,1965,9,1,1960s,sad
well since she put me down i ve been out doin in my head come in late at night and in the mornin i just lay in bed well rhonda you look so fine look so fine and i know it wouldnt take much time for you to help me rhonda help me get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart she was gonna be my wife and i was gonna be her man but she let another guy come between us and it ruined our plan well rhonda you caught my eye caught my eye and i can give you lotsa reasons why you gotta help me rhonda help me get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda yeah get her out of my heart help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda help me rhonda help help me rhonda,help me rhonda,the beach boys,1965,11,3,1960s,sad
who wants to buy this diamond ring she took it off her finger now it doesnt mean a thing this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you this stone is genuine like love should be and if your babys truer than my baby was to me this diamond ring can mean something beautiful and this diamond ring can mean dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring can mean something beautiful and this diamond ring can be dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you,this diamond ring,gary lewis the playboys,1965,17,3,1960s,sad
mrs brown youve got a lovely daughter girls as sharp as her are somethin rare but its sad she doesnt love me now shes made it clear enough it aint no good to pineshe wants to return those things i bought her tell her she can keep them just the same things have changed she doesnt love me now shes made it clear enough it aint no good to callwalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinewalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinemrs brown youve got a lovely daughter mrs brown youve got a lovely daughter mrs brown youve got a lovely daughter,mrs brown youve got a lovely daughter,hermans hermits,1965,19,1,1960s,sad
stop in the name of love before you break my heartbaby baby im aware of where you go each time you leave my door i watch you walk down the street knowing your other love youll meet but this time before you run to her leaving me alone and hurt think it over after ive been good to you think it over after ive been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive known of your your secluded nights ive even seen her maybe once or twice but is her sweet expression worth more than my love and affection but this time before you leave my arms and rush off to her charms think it over havent i been good to you think it over havent i been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive tried so hard hard to be patient hoping youd stop this infatuation but each time you are together im so afraid ill be losing you foreverstop in the name of love before you break my heart stop in the name of love before you break my heart stop in the name of love,stop in the name of love,the supremes,1965,20,1,1960s,sad
slaycrewetook a walk and passed your house late last night all the shades were pulled and drawn way down tight from within the dim light cast two silhouettes on the shade oh what a lovely couple they madeput his arms around your waist held you tight kisses i could almost taste in the night wondered why im not the guy whos silhouettes on the shade i couldnt hide the tears in my eyesahahahahah ahahahahah lead guitar lost control and rang your bell i was sore let me in or else ill beat down your door when two strangers who have been two silhouettes on the shade said to my shock youre on the wrong blockrushed down to your house with wings on my feet loved you like id never loved you my sweet vowed that you and i would be two silhouettes on the shade all of our days two silhouettes on the shadeahahahahah ahahahahah,silhouettes,hermans hermits,1965,22,1,1960s,sad
mantovani cara mia why must we say goodbye each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine cara mia why must we say goodbye each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine oh oh oh oh oh oh oh oh oh oh each time we part my heart wants to die darling hear my prayer cara mia fair ill be your love till the end of time cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine cara mia mine,cara mia,jay and the americans,1965,24,3,1960s,sad
the eastern world it is explodin violence flarin bullets loadin youre old enough to kill but not for votin you dont believe in war but whats that gun youre totin and even the jordan river has bodies floatinbut you tell me over and over and over again my friend ah you dont believe were on the eve of destructiondont you understand what im trying to say cant you feel the fears that im feeling today if the button is pushed theres no running away therell be none to save with the world in a grave take a look around you boy its bound to scare you boyand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionyeah my bloods so mad feels like coagulatin im sittin here just contemplatin i cant twist the truth it knows no regulation handful of senators dont pass legislationand marches alone cant bring integration when human respect is disintegratin this whole crazy world is just too frustratinand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionthink of all the hate there is in red china then take a look around to selma alabama ah you may leave here for four days in space but when you return its the same old placethe poundin of the drums the pride and disgrace you can bury your dead but dont leave a trace hate your next door neighbor but dont forget to say graceand tell me over and over and over and over again my friend you dont believe were on the eve of destruction no no you dont believe were on the eve of destruction,eve of destruction,barry mcguire,1965,29,1,1960s,sad
i think im gonna be sad i think its today yeah the girl thats driving me mad is going away shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care she said that living with me is bringing her down yeah for she would never be free when i was around shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me i think im gonna be sad i think its today yeah the girl thats driving me mad is going away yeah oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me she said that living with me was bringing her down yeah for she would never be free when i was around oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care,ticket to ride,the beatles,1965,31,3,1960s,sad
my baby moves at midnight goes right on till the dawn my woman takes me higher my woman keeps me warmwhat you doin on your back aah what you doin on your back aah you should be dancing yeah dancing yeahshes juicy and shes trouble she gets it to me good my woman gives me power goes right down to my bloodwhat you doin on your back aah what you doin on your back aah you should be dancing yeah dancing yeahwhat you doin on your back aah what you doin on your back aah you should be dancing yeah dancing yeahmy baby moves at midnight goes right on till the dawn yeah my woman takes me higher my woman keeps me warmwhat you doin on your back aah what you doin on your back aah you should be dancing yeah dancing yeahwhat you doin on your back aah what you doin on your back aah you should be dancing yeah dancing yeahyou should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah you should be dancing yeah,you should be dancing,bee gees,1976,31,1,1970s,confident
