lyrics_chunk,song,artist,year,rank,source,decade,mood,baseline_text,controlled_text
you made a fool of me but them broken dreams have got to endhey woman you got the blues cause you aint got no one else to use theres an open road that leads nowhere so just make some miles between here and theretheres a hole in my head where the rain comes in you took my body and played to win ha ha woman its a crying shame but you aint got nobody else to blameevil woman evil woman evil woman evil womanrolled in from another town hit some gold too hot to settle down cause a fool and his money soon go separate ways you found a fool lyin in a dazeha ha woman what you gonna do you destroyed all the virtues that the lord gave you its so good that youre feeling pain but you better get your face on board the very next trainevil woman evil woman evil woman youre an evil woman evil womanevil woman evil woman evil woman youre an evil woman evil womanevil woman how you done me wrong now youre tryin to wail a different song ha ha funny how you broke me up you made the wine now you drink the cupi came runnin every time you cried thought i saw love smilin in your eyes ha ha very nice to know that you aint got no place left to goevil woman evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil woman,evil woman,electric light orchestra,1976,70,1,1970s,confident,you made a fool of me but them broken dreams have got to endhey woman you got the blues cause you aint got no one else to use theres an open road that leads nowhere so just make some miles between here and theretheres a hole in my head where the rain comes in you took my body and played to win ha ha woman its a crying shame but you aint got nobody else to blameevil woman evil woman evil woman evil womanrolled in from another town hit some gold too hot to settle down cause a fool and his money soon go separate ways you found a fool lyin in a dazeha ha woman what you gonna do you destroyed all the virtues that the lord gave you its so good that youre feeling pain but you better get your face on board the very next trainevil woman evil woman evil woman youre an evil woman evil womanevil woman evil woman evil woman youre an evil woman evil womanevil woman how you done me wrong now youre tryin to wail a different song ha ha funny how you broke me up you made the wine now you drink the cupi came runnin every time you cried thought i saw love smilin in your eyes ha ha very nice to know that you aint got no place left to goevil woman evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil woman,"<MOOD=confident> <DECADE=1970s>
you made a fool of me but them broken dreams have got to endhey woman you got the blues cause you aint got no one else to use theres an open road that leads nowhere so just make some miles between here and theretheres a hole in my head where the rain comes in you took my body and played to win ha ha woman its a crying shame but you aint got nobody else to blameevil woman evil woman evil woman evil womanrolled in from another town hit some gold too hot to settle down cause a fool and his money soon go separate ways you found a fool lyin in a dazeha ha woman what you gonna do you destroyed all the virtues that the lord gave you its so good that youre feeling pain but you better get your face on board the very next trainevil woman evil woman evil woman youre an evil woman evil womanevil woman evil woman evil woman youre an evil woman evil womanevil woman how you done me wrong now youre tryin to wail a different song ha ha funny how you broke me up you made the wine now you drink the cupi came runnin every time you cried thought i saw love smilin in your eyes ha ha very nice to know that you aint got no place left to goevil woman evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil womansuch an evil woman evil woman youre an evil woman evil woman"
i dont wanna know your name cause you dont look the same the way you did before okay you think you got a pretty face but the rest of you is out of place you looked all right before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away you you talk about just every band but the names you drop are second hand ive heard it all before i dont wanna know your name cause you dont look the same the way you did before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away ffoxy fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away fox on the run fox on the run fox on the run fox on the run,fox on the run,sweet,1976,76,3,1970s,confident,i dont wanna know your name cause you dont look the same the way you did before okay you think you got a pretty face but the rest of you is out of place you looked all right before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away you you talk about just every band but the names you drop are second hand ive heard it all before i dont wanna know your name cause you dont look the same the way you did before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away ffoxy fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away fox on the run fox on the run fox on the run fox on the run,"<MOOD=confident> <DECADE=1970s>
i dont wanna know your name cause you dont look the same the way you did before okay you think you got a pretty face but the rest of you is out of place you looked all right before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away you you talk about just every band but the names you drop are second hand ive heard it all before i dont wanna know your name cause you dont look the same the way you did before fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away ffoxy fox on the run you scream and everybody comes a running take a run and hide yourself away foxy on the run ffoxy fox on the run and hide away fox on the run fox on the run fox on the run fox on the run"
a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her nameshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireher weapons were her crystal eyes making every man mad black as the dark night she was got what noone else had wowshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireahahahahahahah ahahahahahahahshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desire,venus,shocking blue,1970,33,1,1970s,confident,a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her nameshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireher weapons were her crystal eyes making every man mad black as the dark night she was got what noone else had wowshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireahahahahahahah ahahahahahahahshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desire,"<MOOD=confident> <DECADE=1970s>
a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her nameshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireher weapons were her crystal eyes making every man mad black as the dark night she was got what noone else had wowshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireahahahahahahah ahahahahahahahshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desire"
instant karmas gonna get you gonna knock you right on the head you better get yourself together pretty soon youre gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin to do its up to you yeah youinstant karmas gonna get you gonna look you right in the face better get yourself together darlin join the human race how in the world you gonna see laughin at fools like me who in the hell dyou think you are a super star well right you arewell we all shine on like the moon and the stars and the sun well we all shine on evryone come oninstant karmas gonna get you gonna knock you off your feet better recognize your brothers evryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when youre evrywhere come and get your sharewell we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah alright uh huh ahwell we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and onwell we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun,instant karma,john lennon,1970,34,1,1970s,confident,instant karmas gonna get you gonna knock you right on the head you better get yourself together pretty soon youre gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin to do its up to you yeah youinstant karmas gonna get you gonna look you right in the face better get yourself together darlin join the human race how in the world you gonna see laughin at fools like me who in the hell dyou think you are a super star well right you arewell we all shine on like the moon and the stars and the sun well we all shine on evryone come oninstant karmas gonna get you gonna knock you off your feet better recognize your brothers evryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when youre evrywhere come and get your sharewell we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah alright uh huh ahwell we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and onwell we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun,"<MOOD=confident> <DECADE=1970s>
instant karmas gonna get you gonna knock you right on the head you better get yourself together pretty soon youre gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin to do its up to you yeah youinstant karmas gonna get you gonna look you right in the face better get yourself together darlin join the human race how in the world you gonna see laughin at fools like me who in the hell dyou think you are a super star well right you arewell we all shine on like the moon and the stars and the sun well we all shine on evryone come oninstant karmas gonna get you gonna knock you off your feet better recognize your brothers evryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when youre evrywhere come and get your sharewell we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah alright uh huh ahwell we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and onwell we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun"
if you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneyif you want it here it is come and get it but you better hurry cause its goin fastif you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneysonny if you want it here it is come and get it but youd better hurry cause its going fast youd better hurry cause its going fast fool and his money sonnyif you want it here it is come and get it but youd better hurry cause its goin fast youd better hurry cause its goin fast youd better hurry cause its goin fast,come and get it,badfinger,1970,48,1,1970s,confident,if you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneyif you want it here it is come and get it but you better hurry cause its goin fastif you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneysonny if you want it here it is come and get it but youd better hurry cause its going fast youd better hurry cause its going fast fool and his money sonnyif you want it here it is come and get it but youd better hurry cause its goin fast youd better hurry cause its goin fast youd better hurry cause its goin fast,"<MOOD=confident> <DECADE=1970s>
if you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneyif you want it here it is come and get it but you better hurry cause its goin fastif you want it here it is come and get it make your mind up fast if you want it anytime i can give it but you better hurry cause it may not lastdid i hear you say that there must be a catch will you walk away from a fool and his moneysonny if you want it here it is come and get it but youd better hurry cause its going fast youd better hurry cause its going fast fool and his money sonnyif you want it here it is come and get it but youd better hurry cause its goin fast youd better hurry cause its goin fast youd better hurry cause its goin fast"
express yourself express yourself you dont never need help from nobody else all you got to do now express yourself whatever you do do it good whatever you do do do lord lord do it good oh yeah its not what you look like when youre doin what youre doin its what youre doin when youre doin what you look like youre doin express yourself express yourself theyre doin it on the moon yeah in the jungle too everybody on the floor now jumpin like a kangaroo so let the horns do the thing they do yo some people have everything and other people dont but everything dont mean a thing if it aint the thing you want express yourself express yourself oh do it oh do it do it to it go on and do it yo do it give express yourself express yourself do it oh lord do it yeah express yourself express yourself express yourself express yourself express yourself express yourself express yourself oh lord hey hey hey lord express yourself express yourself express ahh express express yourself express yourself express yourself express,express yourself,charles wright the watts 103rd street rhythm band,1970,57,3,1970s,confident,express yourself express yourself you dont never need help from nobody else all you got to do now express yourself whatever you do do it good whatever you do do do lord lord do it good oh yeah its not what you look like when youre doin what youre doin its what youre doin when youre doin what you look like youre doin express yourself express yourself theyre doin it on the moon yeah in the jungle too everybody on the floor now jumpin like a kangaroo so let the horns do the thing they do yo some people have everything and other people dont but everything dont mean a thing if it aint the thing you want express yourself express yourself oh do it oh do it do it to it go on and do it yo do it give express yourself express yourself do it oh lord do it yeah express yourself express yourself express yourself express yourself express yourself express yourself express yourself oh lord hey hey hey lord express yourself express yourself express ahh express express yourself express yourself express yourself express,"<MOOD=confident> <DECADE=1970s>
express yourself express yourself you dont never need help from nobody else all you got to do now express yourself whatever you do do it good whatever you do do do lord lord do it good oh yeah its not what you look like when youre doin what youre doin its what youre doin when youre doin what you look like youre doin express yourself express yourself theyre doin it on the moon yeah in the jungle too everybody on the floor now jumpin like a kangaroo so let the horns do the thing they do yo some people have everything and other people dont but everything dont mean a thing if it aint the thing you want express yourself express yourself oh do it oh do it do it to it go on and do it yo do it give express yourself express yourself do it oh lord do it yeah express yourself express yourself express yourself express yourself express yourself express yourself express yourself oh lord hey hey hey lord express yourself express yourself express ahh express express yourself express yourself express yourself express"
boogie fever got to boogie down boogie fever i think its going aroundi took my baby to the drive in show she turned the speaker down and then she turned on the radio i watched a silent movie diggin funky soundshes got the boogie fever she likes to boogie down boogie fever i think its going aroundi took my baby too the pizza parlor to get a bite to eat i put some money in the jukebox for her you know she ate her pizza dancing to the beatshes got the boogie fever she likes to boogie down shes got the boogie fever i think its going aroundall night long we did the bump bump bump yes we did yes we did yes we did yeah she kept it going strong doin the bump bump bump doin the bump bump bumpi called the doctor on the telephone doctor doctor said doctor doctor please i i i i got this feeling rockin and areelin tell me what can it be is it some new diseasethey call it boogie fever youve got to boogie down boogie fever i think its going around fever fever feverall night long we did the bump bump bump yes we did yes we did yes we did we kept it going strong doin the bump bump bumpeverybodys got the boogie fever boogie down now get on down now get on down boogie fever i think its going around and around and aroundi got the boogie fever and i said you got the boogie fever i said shes got the boogie fever everybodys got the boogie feverboogie fever boogie down just get on down just get on down boogie fever,boogie fever,the sylvers,1976,20,1,1970s,happy,boogie fever got to boogie down boogie fever i think its going aroundi took my baby to the drive in show she turned the speaker down and then she turned on the radio i watched a silent movie diggin funky soundshes got the boogie fever she likes to boogie down boogie fever i think its going aroundi took my baby too the pizza parlor to get a bite to eat i put some money in the jukebox for her you know she ate her pizza dancing to the beatshes got the boogie fever she likes to boogie down shes got the boogie fever i think its going aroundall night long we did the bump bump bump yes we did yes we did yes we did yeah she kept it going strong doin the bump bump bump doin the bump bump bumpi called the doctor on the telephone doctor doctor said doctor doctor please i i i i got this feeling rockin and areelin tell me what can it be is it some new diseasethey call it boogie fever youve got to boogie down boogie fever i think its going around fever fever feverall night long we did the bump bump bump yes we did yes we did yes we did we kept it going strong doin the bump bump bumpeverybodys got the boogie fever boogie down now get on down now get on down boogie fever i think its going around and around and aroundi got the boogie fever and i said you got the boogie fever i said shes got the boogie fever everybodys got the boogie feverboogie fever boogie down just get on down just get on down boogie fever,"<MOOD=happy> <DECADE=1970s>
boogie fever got to boogie down boogie fever i think its going aroundi took my baby to the drive in show she turned the speaker down and then she turned on the radio i watched a silent movie diggin funky soundshes got the boogie fever she likes to boogie down boogie fever i think its going aroundi took my baby too the pizza parlor to get a bite to eat i put some money in the jukebox for her you know she ate her pizza dancing to the beatshes got the boogie fever she likes to boogie down shes got the boogie fever i think its going aroundall night long we did the bump bump bump yes we did yes we did yes we did yeah she kept it going strong doin the bump bump bump doin the bump bump bumpi called the doctor on the telephone doctor doctor said doctor doctor please i i i i got this feeling rockin and areelin tell me what can it be is it some new diseasethey call it boogie fever youve got to boogie down boogie fever i think its going around fever fever feverall night long we did the bump bump bump yes we did yes we did yes we did we kept it going strong doin the bump bump bumpeverybodys got the boogie fever boogie down now get on down now get on down boogie fever i think its going around and around and aroundi got the boogie fever and i said you got the boogie fever i said shes got the boogie fever everybodys got the boogie feverboogie fever boogie down just get on down just get on down boogie fever"
i believe in miracles where you from you sexy thing i believe in miracles since you came along you sexy thingwhere did you come from baby how did you know i needed you how did you know i needed you so badly how did you know id give my heart gladly yesterday i was one of the lonely people now youre lying close to me making love to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingwhere did you come from angel how did you know id be the one did you know youre everything i prayed for did you know every night and day for every day needing love and satisfaction now youre lying next to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh kiss me you sexy thing touch me baby you sexy thing i love the way you touch me darling you sexy thing oh its ecstasy you sexy thingyesterday i was one of the lonely people now youre lying close to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh touch me kiss me darling i love the way you hold me baby oh its ecstasyoh its ecstasy sexy thing you sexy thing you kiss me baby sexy thing you sexy thing you i love the way you kiss me darling sexy thing you sexy thing you oh yeah sexy thing you sexy thing you love the way you hold me sexy thing you sexy thing you keep on lovin me darling sexy thing you sexy thing you keep on lovin me baby sexy thing you sexy thing you,you sexy thing,hot chocolate,1976,22,1,1970s,happy,i believe in miracles where you from you sexy thing i believe in miracles since you came along you sexy thingwhere did you come from baby how did you know i needed you how did you know i needed you so badly how did you know id give my heart gladly yesterday i was one of the lonely people now youre lying close to me making love to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingwhere did you come from angel how did you know id be the one did you know youre everything i prayed for did you know every night and day for every day needing love and satisfaction now youre lying next to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh kiss me you sexy thing touch me baby you sexy thing i love the way you touch me darling you sexy thing oh its ecstasy you sexy thingyesterday i was one of the lonely people now youre lying close to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh touch me kiss me darling i love the way you hold me baby oh its ecstasyoh its ecstasy sexy thing you sexy thing you kiss me baby sexy thing you sexy thing you i love the way you kiss me darling sexy thing you sexy thing you oh yeah sexy thing you sexy thing you love the way you hold me sexy thing you sexy thing you keep on lovin me darling sexy thing you sexy thing you keep on lovin me baby sexy thing you sexy thing you,"<MOOD=happy> <DECADE=1970s>
i believe in miracles where you from you sexy thing i believe in miracles since you came along you sexy thingwhere did you come from baby how did you know i needed you how did you know i needed you so badly how did you know id give my heart gladly yesterday i was one of the lonely people now youre lying close to me making love to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingwhere did you come from angel how did you know id be the one did you know youre everything i prayed for did you know every night and day for every day needing love and satisfaction now youre lying next to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh kiss me you sexy thing touch me baby you sexy thing i love the way you touch me darling you sexy thing oh its ecstasy you sexy thingyesterday i was one of the lonely people now youre lying close to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh touch me kiss me darling i love the way you hold me baby oh its ecstasyoh its ecstasy sexy thing you sexy thing you kiss me baby sexy thing you sexy thing you i love the way you kiss me darling sexy thing you sexy thing you oh yeah sexy thing you sexy thing you love the way you hold me sexy thing you sexy thing you keep on lovin me darling sexy thing you sexy thing you keep on lovin me baby sexy thing you sexy thing you"
thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie,get up and boogie,silver convention,1976,24,3,1970s,happy,thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie,"<MOOD=happy> <DECADE=1970s>
thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie"
aah everybody get on the floor lets dance dont fight your feelings give yourself a chance shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah you can you can do it very well youre the best in the world i can tell oh shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty oh yeah shake shake shake shake aah shake shake shake shake aah shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah shake shake shake shake shake your booty aah dont fight the feeling shake shake shake shake shake your booty aah give yourself a chance shake shake shake shake shake your booty you can do it do it shake shake shake shake shake your booty come home with momma now shake shake shake shake shake your booty shake shake shake shake shake your booty aah run down to sister shake shake shake shake on your booty aah doo your duty shake shake shake shake,shake shake shake shake your booty,kc and the sunshine band,1976,26,3,1970s,happy,aah everybody get on the floor lets dance dont fight your feelings give yourself a chance shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah you can you can do it very well youre the best in the world i can tell oh shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty oh yeah shake shake shake shake aah shake shake shake shake aah shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah shake shake shake shake shake your booty aah dont fight the feeling shake shake shake shake shake your booty aah give yourself a chance shake shake shake shake shake your booty you can do it do it shake shake shake shake shake your booty come home with momma now shake shake shake shake shake your booty shake shake shake shake shake your booty aah run down to sister shake shake shake shake on your booty aah doo your duty shake shake shake shake,"<MOOD=happy> <DECADE=1970s>
aah everybody get on the floor lets dance dont fight your feelings give yourself a chance shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah you can you can do it very well youre the best in the world i can tell oh shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty oh yeah shake shake shake shake aah shake shake shake shake aah shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah shake shake shake shake shake your booty aah dont fight the feeling shake shake shake shake shake your booty aah give yourself a chance shake shake shake shake shake your booty you can do it do it shake shake shake shake shake your booty come home with momma now shake shake shake shake shake your booty shake shake shake shake shake your booty aah run down to sister shake shake shake shake on your booty aah doo your duty shake shake shake shake"
show me a river thats so deep show me a mountain so high ill show you love thatll last forever flying high so highah show me a place where dreams are for dreamers and all the things you wish come true yeah id wish the world had all happy people then thered be no more wishing to dooh oh oh oh oh sweet love oh oh oh oh oh sweet love oh oh oh oh oh oohwoo hoo hoo hoo hoo hoo sweet sweet lovesun shines over the rainbow high on a hill take a ride on a magic carpet and you know its for realthe world is filled with all the lonely people trying to find their way all they need is a hand to guide them to a brighter dayoh oh oh oh oh sweet love sweet sweet love oh oh oh oh oh well well sweet love sweet sweet love oh oh oh oh oh ohwoo hoo hoo hoo hoo hoo yeah sweet lovesweet love that comes through the ages reach out and touch my soul gave my life so much meaning and everyone a heart of goldoh oh oh oh sweet love well well well oh oh oh oh oh sweet sweet sweet love oh oh oh oh oh sweet sweet sweet sweet love ooo ooooh you needed love ohh sweet love sweet sweet love ohh ohh sweet lovei know youre searchin i know youre searchin for a little love a little peace and understanding and i know its been hard tryin to find your way but you got to keep on searchin harder day by day cause i want you and you you you you you you you you and you to stand on up yes sir put a little love in your heart and little heart in your love together we can make a way listen to me dont wonder to hard ah of what i trying to say cause its love loves the only wayoh nothin but love oh oh love sweet love sweet love ow oh oh oh when youre down and out and you cant see your way sweet love and you need a friend wellellelloh oh oh just call on love love sweet love sweet sweet sweet sweet sweet sweet sweet sweet love,sweet love,commodores,1976,27,1,1970s,happy,show me a river thats so deep show me a mountain so high ill show you love thatll last forever flying high so highah show me a place where dreams are for dreamers and all the things you wish come true yeah id wish the world had all happy people then thered be no more wishing to dooh oh oh oh oh sweet love oh oh oh oh oh sweet love oh oh oh oh oh oohwoo hoo hoo hoo hoo hoo sweet sweet lovesun shines over the rainbow high on a hill take a ride on a magic carpet and you know its for realthe world is filled with all the lonely people trying to find their way all they need is a hand to guide them to a brighter dayoh oh oh oh oh sweet love sweet sweet love oh oh oh oh oh well well sweet love sweet sweet love oh oh oh oh oh ohwoo hoo hoo hoo hoo hoo yeah sweet lovesweet love that comes through the ages reach out and touch my soul gave my life so much meaning and everyone a heart of goldoh oh oh oh sweet love well well well oh oh oh oh oh sweet sweet sweet love oh oh oh oh oh sweet sweet sweet sweet love ooo ooooh you needed love ohh sweet love sweet sweet love ohh ohh sweet lovei know youre searchin i know youre searchin for a little love a little peace and understanding and i know its been hard tryin to find your way but you got to keep on searchin harder day by day cause i want you and you you you you you you you you and you to stand on up yes sir put a little love in your heart and little heart in your love together we can make a way listen to me dont wonder to hard ah of what i trying to say cause its love loves the only wayoh nothin but love oh oh love sweet love sweet love ow oh oh oh when youre down and out and you cant see your way sweet love and you need a friend wellellelloh oh oh just call on love love sweet love sweet sweet sweet sweet sweet sweet sweet sweet love,"<MOOD=happy> <DECADE=1970s>
show me a river thats so deep show me a mountain so high ill show you love thatll last forever flying high so highah show me a place where dreams are for dreamers and all the things you wish come true yeah id wish the world had all happy people then thered be no more wishing to dooh oh oh oh oh sweet love oh oh oh oh oh sweet love oh oh oh oh oh oohwoo hoo hoo hoo hoo hoo sweet sweet lovesun shines over the rainbow high on a hill take a ride on a magic carpet and you know its for realthe world is filled with all the lonely people trying to find their way all they need is a hand to guide them to a brighter dayoh oh oh oh oh sweet love sweet sweet love oh oh oh oh oh well well sweet love sweet sweet love oh oh oh oh oh ohwoo hoo hoo hoo hoo hoo yeah sweet lovesweet love that comes through the ages reach out and touch my soul gave my life so much meaning and everyone a heart of goldoh oh oh oh sweet love well well well oh oh oh oh oh sweet sweet sweet love oh oh oh oh oh sweet sweet sweet sweet love ooo ooooh you needed love ohh sweet love sweet sweet love ohh ohh sweet lovei know youre searchin i know youre searchin for a little love a little peace and understanding and i know its been hard tryin to find your way but you got to keep on searchin harder day by day cause i want you and you you you you you you you you and you to stand on up yes sir put a little love in your heart and little heart in your love together we can make a way listen to me dont wonder to hard ah of what i trying to say cause its love loves the only wayoh nothin but love oh oh love sweet love sweet love ow oh oh oh when youre down and out and you cant see your way sweet love and you need a friend wellellelloh oh oh just call on love love sweet love sweet sweet sweet sweet sweet sweet sweet sweet love"
love rollercoaster the ohio players red hot chili peppers album the beavis butthead do america soundtracksource sandra ott you give me that funny feeling in my tummy ahw sh yeah thats right huh rollercoaster of love say what rollercoaster yeah oohh oohh oohhoh baby you know what im talking about rollercoaster of love oh yeah its rollercoaster timelovin you is really wild oh its just a love rollercoaster step right up and get your tickets1your love is like a rollercoaster babybaby i want to ride yeah awawaw repeat 12move over dad cause im a double dipple upside down on the big dip dipper 12 123 ive got a ticket come ride with me let me go down on the merrygoround all is fair n a big fair ground lets go slow lets go fast like a liqorice twist gonna whip your ass rpt 1 1 2 1rollercoaster say what i will be there for you i will be your man,love rollercoaster,ohio players,1976,30,1,1970s,happy,love rollercoaster the ohio players red hot chili peppers album the beavis butthead do america soundtracksource sandra ott you give me that funny feeling in my tummy ahw sh yeah thats right huh rollercoaster of love say what rollercoaster yeah oohh oohh oohhoh baby you know what im talking about rollercoaster of love oh yeah its rollercoaster timelovin you is really wild oh its just a love rollercoaster step right up and get your tickets1your love is like a rollercoaster babybaby i want to ride yeah awawaw repeat 12move over dad cause im a double dipple upside down on the big dip dipper 12 123 ive got a ticket come ride with me let me go down on the merrygoround all is fair n a big fair ground lets go slow lets go fast like a liqorice twist gonna whip your ass rpt 1 1 2 1rollercoaster say what i will be there for you i will be your man,"<MOOD=happy> <DECADE=1970s>
love rollercoaster the ohio players red hot chili peppers album the beavis butthead do america soundtracksource sandra ott you give me that funny feeling in my tummy ahw sh yeah thats right huh rollercoaster of love say what rollercoaster yeah oohh oohh oohhoh baby you know what im talking about rollercoaster of love oh yeah its rollercoaster timelovin you is really wild oh its just a love rollercoaster step right up and get your tickets1your love is like a rollercoaster babybaby i want to ride yeah awawaw repeat 12move over dad cause im a double dipple upside down on the big dip dipper 12 123 ive got a ticket come ride with me let me go down on the merrygoround all is fair n a big fair ground lets go slow lets go fast like a liqorice twist gonna whip your ass rpt 1 1 2 1rollercoaster say what i will be there for you i will be your man"
